id,jogo,categoria,participantes,mediador,aquecimento,musica,descricao,visivel
2,Congela,Duplas,2+,sim,não,não,"Dois atores iniciam uma cena a partir de um contexto. A qualquer momento, o mediador grita 'Congela!'. A cena trava imediatamente. Um dos atores que está assistindo toca em um dos participantes no palco, assume exatamente a sua postura corporal e reinicia uma nova cena, mudando completamente o contexto.",sim
3,Sonoplasta,Trios,3,não,não,não,"Dois atores realizam uma cena baseada em um tema ou contexto sorteado. A terceira pessoa fica responsável por fazer ao vivo toda a sonoplastia da cena usando a boca, cantoria, sons com o corpo ou objetos disponíveis no ambiente.",sim
4,Musical,Trios,3,sim,não,sim,"Dois ou mais atores iniciam uma cena a partir de um contexto definido pelo mediador. A qualquer momento, o mediador solta uma trilha sonora. Os atores (juntos ou individualmente) devem começar a cantar imediatamente dentro do contexto da história e só parar quando a música parar. A cena deve manter a coerência com início, meio e fim.",sim
5,Cena de Filme,Grupos,4+,sim,não,não,"A turma é dividida em dois grupos. Cada grupo escolhe uma cena de filme e tem 5 minutos para ensaiar uma pequena apresentação. Os dois grupos apresentam suas cenas. Em seguida, sem ensaio prévio, um grupo precisa apresentar a cena que o outro acabou de fazer (revele esta última regra só após as apresentações iniciais!).",sim
6,Objeto Aleatório,Todos,3+,sim,não,não,"Cada participante escolhe um objeto pessoal fácil de carregar. Todos se sentam em roda e passam seu objeto para a pessoa à esquerda. Em seguida, um por vez vai ao centro da roda com o novo objeto e improvisa uma pequena cena (com ou sem som) dando um uso inusitado ao objeto.",sim
7,Entrevista Dublada,Trios,3,não,não,não,"Forme trios compostos por: Repórter, Gringo e Tradutor. A plateia escolhe a nacionalidade/língua do gringo (pode ser fictícia ou alienígena) e o assunto da matéria. O repórter faz as perguntas, o gringo responde em 'marmota/gramelot' e o tradutor traduz para o público. A cena deve ter início, meio e fim.",sim
8,Frase Surpresa,Grupos,4+,sim,não,não,"O mediador pede para todos escreverem uma frase em um papel a partir de um tema aleatório (ex: 'frase que diria a quem ama' ou 'frase de um livro'). As frases são recolhidas e distribuídas aleatoriamente sem que ninguém veja a sua. Divididos em grupos, os atores criam uma cena. Durante a apresentação, cada um deve ler sua frase em voz alta no momento que desejar e integrá-la de forma coerente ao contexto.",sim
9,Jogo do Troca,Duplas,2+,sim,não,não,"Um participante atua como mediador e os outros iniciam uma cena improvisada a partir de um tema pré-definido. Sempre que o mediador gritar 'Troca!', o ator que acabou de falar deve substituir imediatamente sua última palavra ou frase por uma nova ideia, repetindo o processo se o comando for dito novamente, até que a cena seja liberada para continuar.",sim
10,Só Perguntas,Todos,3+,não,não,não,"Os atores ficam em fila virados para a plateia. Os dois primeiros entram em cena e devem manter um diálogo feito exclusivamente por perguntas. Quem hesitar, responder com afirmativa/negativa ou errar vai para o fim da fila e cede lugar ao próximo, em um ritmo dinâmico de competição estilo 'Rei da Montanha'.",sim
11,Pensamentos,Grupos,4,sim,não,não,"Formam-se duas duplas: uma atua em cena e a outra representa as consciências das personagens. A cena começa com um tema proposto. Quando o mediador dá um sinal, a cena congela e a consciência do ator em foco deve revelar o que ele está pensando ou sentindo em segredo, direcionando a próxima ação da cena.",sim
