Personagem,Localizacao,Filme / Livro,Adjetivo / Característica,Frase
"Bombeiro","Praia","O Poderoso Chefão","Tagarela","Acho que engoli a minha própria língua."
"Chef de cozinha","Elevador","Titanic","Tímido","Você tem um cigarro aí?"
"Detetive","Consultório médico","Star Wars: Uma Nova Esperança","Hiperativo","A guerra intergalática está chegando!"
"Turista","Cozinha de restaurante","De Volta para o Futuro","Ciumento","Quem colocou maionese no meu sapato?"
"Avó","Estação espacial","Matrix","Pessimista","Nunca diga isso perto do meu gato."
"Avô","Casamento","O Senhor dos Anéis: A Sociedade do Anel","Otimista ingênuo","Eu jurava que o farol estava verde."
"Astronauta","Vagão de metrô","Harry Potter e a Pedra Filosofal","Autoritário","Esqueci como se senta numa cadeira."
"Professor","Floresta","Jurassic Park","Debochado","Alguém aqui sabe desativar uma bomba?"
"Pirata","Escritório","Os Vingadores","Dramático","Não olha agora mas tem um pinguim atrás de você."
"Cientista","Praça de alimentação","Avatar","Perfeccionista","Você por acaso viu a minha dentadura?"
"Vendedor ambulante","Bar da esquina","Forrest Gump","Preguiçoso","Promete que não vai rir de mim?"
"Dona de casa","Enterro","O Rei Leão","Nervoso","Se a polícia perguntar estávamos no cinema."
"Pedreiro","Lanterninha de cinema","Pulp Fiction","Esquecido","Comi a última fatia e não me arrependo."
"Lanterninha de cinema","Micareta","Clube da Luta","Avarento (Mão de vaca)","Isso não é um micro-ondas é um portal!"
"Flanelinha","Sauna pública","O Iluminado","Estressado","Meu tornozelo acabou de fazer um barulho estranho."
"Porteiro","Restaurante chique","Gladiador","Fofoqueiro","Você tem certeza de que este cogumelo é comestível?"
"Garçom","Planeta Marte","Interestelar","Desconfiado","Eu sou o verdadeiro herdeiro desse trono!"
"Taxista","Embaixo d'água","Inception (A Origem)","Perdidamente apaixonado","Sinto cheiro de pneu queimado."
"Vendedor de coxinha","Fila do banco","O Silêncio dos Inocentes","Supersticioso","Quem é você e o que fez com o meu papagaio?"
"Padeiro","Padeiro madrugador","E.T. O Extraterrestre","Hipocondríaco","Não me toca que eu tô eletcutado!"
"Professor de autoescola","Salão de beleza","Tubarão","Orgulhoso","Acho que meu dente da frente tá mole."
"Síndico","Ponto de ônibus","De Volta para o Futuro II","Vaidoso","Pelo amor de Deus fecha essa janela!"
"Motorista de ônibus","Provador de loja","Psicose","Modesto demais","Esqueci a senha do meu próprio cérebro."
"Feirante","Cartório","Casablanca","Melancólico","Você se importa se eu dormir aqui só dez minutinhos?"
"Carteiro","Oficina mecânica","A Lista de Schindler","Euforico","Pensei que essa festa fosse à fantasia."
"Encanador","Reunião de condomínio","O Resgate do Soldado Ryan","Rebelde","Ninguém sai dessa sala até o anel aparecer!"
"Dentista","Exame de laboratório","Batman: O Cavaleiro das Trevas","Conservador","Minha mãe mandou te dar um abraço."
"Veterinário","Aula de pilates","O Grande Truque","Místico","Eu nunca vi tanto repolho na minha vida."
"Enfermeira","Show de rock pesado","Coringa","Sarcástico","Você ouviu esse zumbido ou eu tô ficando louco?"
"Advogado","Festa de aniversário infantil","Os Bons Companheiros","Cínico","Sempre soube que você não era flor que se cheire."
"Arquiteto","Topo do Monte Everest","Taxi Driver","Ingênuo","O botão vermelho diz para NÃO apertar!"
"Eletricista","Dentro de um vulcão","Laranja Mecânica","Sábio","Alguém trouxe um guarda-chuva de reserva?"
"Jardineiro","Nave espacial em chamas","2001: Uma Odisséia no Espaço","Maluco Beleza","Minha perna tá dormindo há três horas."
"Mecânico","Ilha deserta","Blade Runner","Frio e calculista","Não acredito que você vendeu o nosso fogão!"
"Barbeiro","Interior de uma baleia","Alien o Oitavo Passageiro","Emocionado","Você fala como se soubesse o que tá fazendo."
"Caixa de supermercado","Castelo assombrado","O Exterminador do Futuro 2","Corajoso","A calça rasgou no meio do agachamento."
"Entregador de aplicativo","Fossa das Marianas","Indiana Jones e os Caçadores da Arca Perdida","Medroso","Tem como devolver a minha dignidade?"
"Motorista de Uber","Dimensão paralela","Rocky um Lutador","Ansioso","Tira a mão da minha empadinha!"
"Jornalista","Dentro do estômago de um monstro","Rambo: Programado para Matar","Calmo até demais","Alguém me lembra qual é o meu próprio nome?"
"Fotógrafo","Feira livre de domingo","Top Gun: As Ases Indomáveis","Irritadíssimo","Isso aqui não é suco de maracujá!"
"Personal trainer","Balada sertaneja","Dirty Dancing","Teimoso","Sinto que estamos sendo observados por pombos."
"Tatuador","Tribunal de justiça","Curtindo a Vida Adoidado","Flexível","Eu só vim aqui pra comer coxinha."
"Manicure","Vaca atolada na lama","Os Caça-Fantasmas","Carismático","Não se mexe tem uma abelha no seu nariz!"
"Lixeiro","Asilo de idosos","Meninas Malvadas","Antipático","Você tem cinco reais pra me emprestar até 2030?"
"Coveiro","Canteiro de obras","As Branquelas","Sedutor","A porta tá trancada por fora!"
"Gari","Circo mambembe","Se Beber Não Case!","Desajeitado","Acho que perdi meu umbigo."
"Costureira","Estádio de futebol lotado","Superbad: É Hoje","Elegante","Isso vai doer mais em você do que em mim."
"Pintor de parede","Biblioteca silenciosa","Shrek","Rústico","Seu cachorro acabou de latir em francês?"
"Zelador","Parque de diversões abandonado","Shrek 2","Filosófico","Eu juro que tentei ser uma boa pessoa."
"Segurança","Aquário municipal","Toy Story","Prático","Alguém desliga essa música pelo amor do guarda!"
"Salva-vidas","Spa de luxo","Procurando Nemo","Sonhador","Cadê o meu outro pé de meia?"
"Ascensorista","Supermercado no horário de pico","Os Incríveis","Apressado","Você não acha que a lua tá perto demais hoje?"
